,path,emotion
182,data/emodb/wav\12b02Wa.wav,angry
183,data/emodb/wav\12b02Wb.wav,angry
184,data/emodb/wav\12b02Wd.wav,angry
185,data/emodb/wav\12b03Ta.wav,sad
186,data/emodb/wav\12b09Td.wav,sad
187,data/emodb/wav\12b09Wc.wav,angry
188,data/emodb/wav\12b10Wa.wav,angry
189,data/emodb/wav\13a01Fd.wav,happy
190,data/emodb/wav\13a01Nb.wav,neutral
191,data/emodb/wav\13a01Wb.wav,angry
192,data/emodb/wav\13a02Fa.wav,happy
193,data/emodb/wav\13a02Nc.wav,neutral
194,data/emodb/wav\13a02Ta.wav,sad
195,data/emodb/wav\13a02Wa.wav,angry
196,data/emodb/wav\13a04Fc.wav,happy
197,data/emodb/wav\13a04Ta.wav,sad
198,data/emodb/wav\13a04Wc.wav,angry
199,data/emodb/wav\13a05Nb.wav,neutral
200,data/emodb/wav\13a05Tc.wav,sad
201,data/emodb/wav\13a05Wa.wav,angry
202,data/emodb/wav\13a05Wc.wav,angry
203,data/emodb/wav\13a07Fd.wav,happy
204,data/emodb/wav\13a07Na.wav,neutral
205,data/emodb/wav\13a07Tc.wav,sad
206,data/emodb/wav\13a07Wb.wav,angry
207,data/emodb/wav\13b01Fc.wav,happy
208,data/emodb/wav\13b01Nc.wav,neutral
209,data/emodb/wav\13b01Wa.wav,angry
210,data/emodb/wav\13b02Fb.wav,happy
211,data/emodb/wav\13b02Nb.wav,neutral
212,data/emodb/wav\13b02Wa.wav,angry
213,data/emodb/wav\13b03Fd.wav,happy
214,data/emodb/wav\13b03Na.wav,neutral
215,data/emodb/wav\13b03Td.wav,sad
216,data/emodb/wav\13b03Wc.wav,angry
217,data/emodb/wav\13b09Fb.wav,happy
218,data/emodb/wav\13b09Fc.wav,happy
219,data/emodb/wav\13b09Na.wav,neutral
220,data/emodb/wav\13b09Wa.wav,angry
221,data/emodb/wav\13b10Fa.wav,happy
222,data/emodb/wav\13b10Nc.wav,neutral
223,data/emodb/wav\13b10Wa.wav,angry
224,data/emodb/wav\13b10Wc.wav,angry
225,data/emodb/wav\14a01Na.wav,neutral
226,data/emodb/wav\14a01Wa.wav,angry
227,data/emodb/wav\14a01Wc.wav,angry
228,data/emodb/wav\14a02Fd.wav,happy
229,data/emodb/wav\14a02Nc.wav,neutral
230,data/emodb/wav\14a02Tb.wav,sad
231,data/emodb/wav\14a02Wa.wav,angry
232,data/emodb/wav\14a02Wc.wav,angry
233,data/emodb/wav\14a04Tb.wav,sad
234,data/emodb/wav\14a04Tc.wav,sad
235,data/emodb/wav\14a04Wb.wav,angry
236,data/emodb/wav\14a04Wc.wav,angry
237,data/emodb/wav\14a05Fa.wav,happy
238,data/emodb/wav\14a05Fb.wav,happy
239,data/emodb/wav\14a05Na.wav,neutral
240,data/emodb/wav\14a05Ta.wav,sad
241,data/emodb/wav\14a05Tc.wav,sad
242,data/emodb/wav\14a05Wa.wav,angry
243,data/emodb/wav\14a05Wb.wav,angry
244,data/emodb/wav\14a07Fd.wav,happy
245,data/emodb/wav\14a07Na.wav,neutral
246,data/emodb/wav\14a07Tc.wav,sad
247,data/emodb/wav\14a07Wc.wav,angry
248,data/emodb/wav\14b01Fa.wav,happy
249,data/emodb/wav\14b01Fc.wav,happy
250,data/emodb/wav\14b01Na.wav,neutral
251,data/emodb/wav\14b01Wc.wav,angry
252,data/emodb/wav\14b02Fb.wav,happy
253,data/emodb/wav\14b02Na.wav,neutral
254,data/emodb/wav\14b02Tc.wav,sad
255,data/emodb/wav\14b02Wb.wav,angry
256,data/emodb/wav\14b02Wd.wav,angry
257,data/emodb/wav\14b03Ta.wav,sad
258,data/emodb/wav\14b03Wb.wav,angry
259,data/emodb/wav\14b09Fc.wav,happy
260,data/emodb/wav\14b09Td.wav,sad
261,data/emodb/wav\14b09Wa.wav,angry
262,data/emodb/wav\14b09Wc.wav,angry
263,data/emodb/wav\14b10Nb.wav,neutral
264,data/emodb/wav\14b10Tc.wav,sad
265,data/emodb/wav\14b10Wc.wav,angry
266,data/emodb/wav\15a01Fb.wav,happy
267,data/emodb/wav\15a01Nb.wav,neutral
268,data/emodb/wav\15a01Wa.wav,angry
269,data/emodb/wav\15a02Na.wav,neutral
270,data/emodb/wav\15a02Ta.wav,sad
